MGA Name,Code,F&F Email
Groupe Financier Sarkissian,E91140,ryan.burns@empire.ca
PPI SOLUTIONS INC- ONTARIO DIVISION,E57740,ryan.burns@empire.ca
CABINET D'ASS BANQUE NATIONALE INC,E10001,ryan.burns@empire.ca
HOLLIS INSURANCE NFIA INC,D71040,ryan.burns@empire.ca
MICA SERVICES FINANCIERS INC,D50750,ryan.burns@empire.ca
PEAK INSURANCE SERVICES INC,D46770,ryan.burns@empire.ca
CANADA LOYAL FINANCIAL LTD,C69510,ryan.burns@empire.ca
ZLC Financial Ltd,C53930,ryan.burns@empire.ca
Service d'assurances PEAK Inc.,C46770,ryan.burns@empire.ca
Groupe Financier Maestro inc.,C35841,ryan.burns@empire.ca
GROUPE CLOUTIER INC,C20182,ryan.burns@empire.ca
Customplan Financial Advisors inc,C16046,ryan.burns@empire.ca
PPI SOLUTIONS - ABEX CALGARY INC,C15948,ryan.burns@empire.ca
CF Canada Financial Group Inc.,C15866,ryan.burns@empire.ca
ALLEN WONG & ASSOC INS AGCY LTD,C12607,ryan.burns@empire.ca
IDC WIN - VANCOUVER,C12135,ryan.burns@empire.ca
W.C.S. ACHIEVEX INC,C11888,ryan.burns@empire.ca
Financière S_Entiel inc.,B95000,ryan.burns@empire.ca
Courtage Asscs Leslie Machan Inc,B72560,ryan.burns@empire.ca
,B63100,ryan.burns@empire.ca
,B58810,ryan.burns@empire.ca
EXPERIOR FIN GROUP INC,B53882,ryan.burns@empire.ca
AGENCE D'ASS-VIE MANUEL SMITH LTEE,B53050,ryan.burns@empire.ca
Prix Assurances Vie (AGA) inc,B50441,ryan.burns@empire.ca
HUB FINANCIAL ISI INC,B46168,ryan.burns@empire.ca
Groupe Robillard CGL Inc.,B39983,ryan.burns@empire.ca
Groupe Financier Horizons-Centre,B35079,ryan.burns@empire.ca
HBO Financial Services Inc.,B33451,ryan.burns@empire.ca
IDC WIN SBS,B31634,ryan.burns@empire.ca
HUB FINANCIAL IFCG INC,B30727,ryan.burns@empire.ca
Question de Finance Inc.,B17164,ryan.burns@empire.ca
"Les Assurances Fontaine, Lemay & Ass. Inc.",B17034,ryan.burns@empire.ca
Global Pacific Fin Services Ltd,B13123,ryan.burns@empire.ca
RAYMOND JAMES FINANCIAL PLANNING LTD,B13035,ryan.burns@empire.ca
Financial Horizons Inc (Victoria),B12121,ryan.burns@empire.ca
IDC WIN- QUEBEC,A61250,ryan.burns@empire.ca
Customplan Fin Advisors Inc (Calgary),A60083,ryan.burns@empire.ca
,A60082,ryan.burns@empire.ca
PPI SOLUTIONS QTRADE INC,A58906,ryan.burns@empire.ca
CARTE RISK MANAGEMENT INC,A57541,ryan.burns@empire.ca
IDC WIN FPF,A57342,ryan.burns@empire.ca
DESJARDINS RÉSEAU INDÉPENDANT ASS,A56600,ryan.burns@empire.ca
HUB FINANCIAL BC INC,A55990,ryan.burns@empire.ca
Groupe Financier Horizons-CRSP SUD,A54200,ryan.burns@empire.ca
GROUPE FINANCIER HORIZONS,A51650,ryan.burns@empire.ca
PPI SOLUTIONS SERVICES INC,A50732,ryan.burns@empire.ca
CREDENTIAL INSURANCE SERVICES INC,A50032,ryan.burns@empire.ca
COURTIERS D'ASSURANCE-VIE RATE WATCHERS LTÉE,A48301,ryan.burns@empire.ca
PPI SOLUTIONS - BC DIVISION INC,A48050,ryan.burns@empire.ca
,A47737,ryan.burns@empire.ca
Hollis Insurance Inc - BBA,A47400,ryan.burns@empire.ca
PPI SOLUTIONS - QUEBEC DIVISION INC,A47069,ryan.burns@empire.ca
IDC WIN - LONDON,A45917,ryan.burns@empire.ca
FINANCIERE BOULOS MACHAN INC,A45388,ryan.burns@empire.ca
MGI INSURANCE BROKERAGE INC,A44024,ryan.burns@empire.ca
Groupe Financier Horizons-OUEST,A41147,ryan.burns@empire.ca
Groupe Financier Horizons-CRSP EST,A40450,ryan.burns@empire.ca
,A40272,ryan.burns@empire.ca
,A40243,ryan.burns@empire.ca
Groupe Robillard CGL Inc.,A39983,ryan.burns@empire.ca
Centre Financier SFL Cité de Montcalm,A39895,ryan.burns@empire.ca
Financial Horizons Inc (Atlantic),A39745,ryan.burns@empire.ca
GROUPE AGENZ INC,A39573,ryan.burns@empire.ca
Centre Financier SFL de La St-François,A39225,ryan.burns@empire.ca
,A39224,ryan.burns@empire.ca
,A39098,ryan.burns@empire.ca
IDC WIN - ATLANTIC,A38044,ryan.burns@empire.ca
QUALIFIED FIN SVCS PERFORMINS INC,A37318,ryan.burns@empire.ca
PPI SOLUTIONS WINNIPEG INC,A36611,ryan.burns@empire.ca
HUB FINANCIAL ONTARIO NORTH INC,A36138,ryan.burns@empire.ca
Financial Horizons Inc. - Toronto,A35326,ryan.burns@empire.ca
6266495 CANADA INC,A34975,ryan.burns@empire.ca
ASSANTE ESTATE AND INS SVCS INC,A32476,ryan.burns@empire.ca
Financial Horizons Incorporated (Burlington),A32284,ryan.burns@empire.ca
HUB FINANCIAL MB INC,A31337,ryan.burns@empire.ca
JOSEPH B WOODYATT INS AGENCIES LTD,A18945,ryan.burns@empire.ca
CINABER FINANCIAL INC,A18256,ryan.burns@empire.ca
BARRINGTON WEALTH PARTNERS INC,A17992,ryan.burns@empire.ca
W.C.S. Fin Svcs Inc London,A17604,ryan.burns@empire.ca
W.C.S. FIN SVCS GRAND RIVER INC,A17603,ryan.burns@empire.ca
W.C.S. Fin Svcs Inc (Toronto),A17602,ryan.burns@empire.ca
HUB FINANCIAL QUEBEC INC,A17466,ryan.burns@empire.ca
QUALIFIED FINANCIAL SERVICES INC,A17175,ryan.burns@empire.ca
SERVICES FIN. G.THIBEAULT 2010 INC,A16515,ryan.burns@empire.ca
Financial Horizons Group Kingston Inc.,A16441,ryan.burns@empire.ca
The Gryphin Advantage Inc (LON),A16328,ryan.burns@empire.ca
Financial Horizons Inc. London,A16087,ryan.burns@empire.ca
AURREA SIGNATURE INC,A16073,ryan.burns@empire.ca
Customplan Financial Advisors Inc.,A16046,ryan.burns@empire.ca
BOTICA FINANCIAL GROUP INC,A16005,ryan.burns@empire.ca
PPI SOLUTIONS - NORTHERN AB DIV INC,A15845,ryan.burns@empire.ca
ALLIANCE INSURANCE BROKERS LTD,A15685,ryan.burns@empire.ca
PPI SOLUTIONS - SOUTHERN AB DIV INC,A15521,ryan.burns@empire.ca
PPI SOLUTIONS - ATLANTIC DIVISION INC,A15269,ryan.burns@empire.ca
IDC WIN - TORONTO EAST,A15145,ryan.burns@empire.ca
PARADIGM FINANCIAL ADVISORS NORTH INC,A15015,ryan.burns@empire.ca
PARADIGM FINANCIAL ADVISORS INC,A14931,ryan.burns@empire.ca
IDC WIN,A14889,ryan.burns@empire.ca
TORCE FINANCIAL GROUP INC,A14803,ryan.burns@empire.ca
EXCEL INSURANCE AGENCY INC,A14422,ryan.burns@empire.ca
HUB FINANCIAL ONTARIO INC,A14391,ryan.burns@empire.ca
HUB FINANCIAL ATL INC,A14323,ryan.burns@empire.ca
Hollis Insurance Inc -Champlain,A14145,ryan.burns@empire.ca
PPI Management Inc. - Centre Fin de la Capitale,A14143,ryan.burns@empire.ca
PPI Management Inc. - Centre Fin Lebourgneuf,A14142,ryan.burns@empire.ca
HOLLIS INSURANCE INC,A14138,ryan.burns@empire.ca
,A13951,ryan.burns@empire.ca
THE GRYPHIN ADVANTAGE INC,A13792,ryan.burns@empire.ca
,A13548,ryan.burns@empire.ca
HUB FINANCIAL RICHMOND INC,A13456,ryan.burns@empire.ca
FINANCIAL HORIZONS KW INC,A13346,ryan.burns@empire.ca
LIFE MANAGEMENT FINANCIAL GRP LTD,A13283,ryan.burns@empire.ca
HUB FINANCIAL PRAIRIES INC,A12712,ryan.burns@empire.ca
Groupe Financier Boulos Inc.,A11714,ryan.burns@empire.ca
MANULIFE SECURITIES INSURANCE INC,70000N,ryan.burns@empire.ca
SCOTIA WEALTH INSURANCE SERV INC,30000N,ryan.burns@empire.ca
TD WATERHOUSE INSURANCE SVCS INC,20000N,ryan.burns@empire.ca
BMO ESTATE INS ADVISORY SVCS INC,10000N,ryan.burns@empire.ca
Michael R. Smith & Associates Inc.,0033DD,ryan.burns@empire.ca
Adams Associates Fin Security Inc.,0001DD,ryan.burns@empire.ca
SERV FIN NORMAND CHARBONNEAU INC,905790,ryan.burns@empire.ca
SHANE CURREY,758290,ryan.burns@empire.ca
HERR MACLEAN FINANCIAL INC,755400,ryan.burns@empire.ca
MICHAEL D CURREY INS AGENCIES INC,754240,ryan.burns@empire.ca
ROLANDO CUNANAN,750370,ryan.burns@empire.ca
test,12345,test@empire.ca
